crop,temperature,humidity,rainfall,wind_speed,soil_ph,n_content,p_content,k_content,crop_health_score,health_status,risk_level,primary_risk_factor
Rice,22.2,74.83,181.72,9.91,5.3,126.9,57.5,86.3,98.0,Healthy,Low,Optimal Conditions
Rice,22.44,98.0,127.95,17.42,7.25,92.9,29.5,67.3,75.4,Healthy,Low,Humidity Deviation
Rice,31.34,70.11,183.8,10.48,6.22,122.1,17.0,99.6,98.0,Healthy,Low,Optimal Conditions
Rice,30.42,70.77,152.74,15.45,7.49,127.6,56.1,111.3,98.0,Healthy,Low,Optimal Conditions
Rice,31.75,77.36,258.43,17.31,6.8,84.2,48.1,103.1,98.0,Healthy,Low,Optimal Conditions
Rice,31.68,80.66,179.93,16.04,6.32,104.9,71.4,24.2,98.0,Healthy,Low,Optimal Conditions
Rice,21.92,61.28,249.69,17.09,7.02,50.6,64.5,94.8,89.3,Healthy,Low,Humidity Deviation
Rice,35.97,58.52,359.45,31.8,5.51,65.5,84.1,90.8,62.4,At Risk,Moderate,Temperature Deviation
Rice,29.82,82.42,262.58,16.99,7.06,42.4,28.9,81.5,98.0,Healthy,Low,Optimal Conditions
Rice,10.78,92.83,9.0,51.17,6.26,47.9,82.0,55.3,5.0,High Risk,High,Temperature Deviation
Rice,31.57,98.0,261.63,29.33,6.24,109.0,55.9,119.8,80.5,Healthy,Low,Humidity Deviation
Rice,25.2,93.78,103.71,28.07,5.28,121.6,20.2,56.7,76.0,Healthy,Low,Humidity Deviation
Rice,20.66,58.82,178.5,23.18,7.07,135.1,37.4,38.9,81.9,Healthy,Low,Humidity Deviation
Rice,24.88,79.22,286.78,7.09,5.25,50.7,68.1,77.3,98.0,Healthy,Low,Optimal Conditions
Rice,31.19,81.85,153.45,14.77,6.93,64.9,15.5,23.1,98.0,Healthy,Low,Optimal Conditions
Rice,30.4,83.66,168.42,8.54,5.41,42.4,77.0,49.9,98.0,Healthy,Low,Optimal Conditions
Rice,24.27,79.12,206.9,16.16,5.51,114.5,58.3,27.0,98.0,Healthy,Low,Optimal Conditions
Rice,30.64,83.84,219.86,12.21,7.3,90.4,12.6,110.8,98.0,Healthy,Low,Optimal Conditions
Rice,27.78,72.48,155.08,9.67,6.95,53.3,27.6,37.3,98.0,Healthy,Low,Optimal Conditions
Rice,15.68,98.0,314.44,11.48,6.87,45.2,81.8,36.5,56.5,At Risk,Moderate,Temperature Deviation
Rice,22.37,77.08,234.73,5.99,6.94,74.4,52.0,61.3,98.0,Healthy,Low,Optimal Conditions
Rice,27.6,72.33,177.29,17.93,7.37,64.8,31.7,82.6,98.0,Healthy,Low,Optimal Conditions
Rice,22.25,72.34,257.4,14.88,5.07,46.6,28.5,85.5,98.0,Healthy,Low,Optimal Conditions
Rice,23.04,82.0,176.78,14.79,5.6,31.9,29.5,90.8,98.0,Healthy,Low,Optimal Conditions
Rice,15.71,12.12,8.96,50.76,7.12,34.7,80.1,82.5,5.0,High Risk,High,Rainfall Deviation
Rice,18.33,97.82,182.54,19.01,6.38,72.3,33.6,114.6,67.9,At Risk,Moderate,Humidity Deviation
Rice,31.23,58.58,152.78,26.32,6.75,68.3,27.4,82.7,86.3,Healthy,Low,Humidity Deviation
Rice,23.32,83.51,253.68,15.25,7.06,83.6,75.2,67.3,98.0,Healthy,Low,Optimal Conditions
Rice,26.05,77.46,258.03,6.6,5.35,51.6,31.3,91.9,98.0,Healthy,Low,Optimal Conditions
Rice,28.33,77.41,235.99,17.57,6.01,112.5,43.8,52.2,98.0,Healthy,Low,Optimal Conditions
Rice,18.45,92.28,4.37,35.4,6.42,77.1,63.1,113.4,42.1,High Risk,High,Rainfall Deviation
Rice,23.05,51.85,275.51,23.71,6.19,61.3,38.1,58.3,78.2,Healthy,Low,Humidity Deviation
Rice,29.64,58.87,177.21,17.94,5.23,130.1,20.9,114.8,86.6,Healthy,Low,Humidity Deviation
Rice,23.85,78.13,280.94,15.98,7.02,99.1,65.4,104.2,98.0,Healthy,Low,Optimal Conditions
Rice,26.89,73.32,298.15,19.16,5.1,104.7,84.0,34.0,98.0,Healthy,Low,Optimal Conditions
Rice,27.77,69.41,339.61,26.39,5.14,74.6,51.8,82.7,94.0,Healthy,Low,Rainfall Deviation
Rice,27.36,98.0,248.29,16.94,6.35,114.9,35.5,80.7,80.5,Healthy,Low,Humidity Deviation
Rice,41.31,16.93,608.68,57.64,5.18,21.1,14.2,24.3,5.0,High Risk,High,Rainfall Deviation
Rice,26.8,78.71,190.75,10.97,5.23,60.4,51.8,91.9,98.0,Healthy,Low,Optimal Conditions
Rice,26.67,74.46,277.92,15.73,6.47,53.3,82.8,19.7,98.0,Healthy,Low,Optimal Conditions
Rice,25.92,71.87,293.46,16.97,5.65,90.6,88.6,107.8,98.0,Healthy,Low,Optimal Conditions
Rice,29.74,87.0,157.18,21.28,5.58,41.2,27.6,34.6,97.0,Healthy,Low,Optimal Conditions
Rice,35.3,60.66,265.54,21.34,6.23,139.6,81.8,63.7,75.6,Healthy,Low,Temperature Deviation
Rice,22.24,98.0,230.36,29.55,7.39,123.5,74.8,83.8,80.5,Healthy,Low,Humidity Deviation
Rice,20.12,94.75,371.27,12.41,7.24,139.0,14.9,107.7,69.3,At Risk,Moderate,Humidity Deviation
Rice,18.35,98.0,171.9,24.49,7.13,124.1,66.7,102.9,67.7,At Risk,Moderate,Humidity Deviation
Rice,32.52,95.59,354.79,10.11,7.05,47.4,82.7,15.1,74.7,At Risk,Moderate,Humidity Deviation
Rice,16.53,86.16,106.06,23.95,6.35,113.6,18.6,94.9,68.9,At Risk,Moderate,Temperature Deviation
Rice,33.12,47.56,321.05,30.84,5.42,112.5,66.7,64.7,65.8,At Risk,Moderate,Humidity Deviation
Rice,22.75,82.79,298.52,15.14,6.11,97.7,57.6,55.3,98.0,Healthy,Low,Optimal Conditions
Rice,30.22,75.58,272.82,8.79,5.0,39.1,47.5,114.2,98.0,Healthy,Low,Optimal Conditions
Rice,30.54,77.91,273.89,9.48,7.1,112.7,28.4,28.8,98.0,Healthy,Low,Optimal Conditions
Rice,36.38,24.15,9.65,59.44,6.02,127.3,28.4,37.4,5.0,High Risk,High,Rainfall Deviation
Rice,28.52,75.53,279.65,12.1,7.42,42.3,79.5,96.5,98.0,Healthy,Low,Optimal Conditions
Rice,27.83,58.52,280.87,20.17,5.0,91.8,58.6,41.0,86.2,Healthy,Low,Humidity Deviation
Rice,28.1,93.74,281.9,10.26,5.18,67.1,48.4,78.0,86.9,Healthy,Low,Humidity Deviation
Rice,28.95,82.9,266.98,5.59,6.2,32.6,29.4,118.6,98.0,Healthy,Low,Optimal Conditions
Rice,26.99,79.27,255.37,13.39,5.02,59.2,51.4,24.2,98.0,Healthy,Low,Optimal Conditions
Rice,22.33,71.18,209.54,6.99,6.42,102.7,74.0,36.0,98.0,Healthy,Low,Optimal Conditions
Rice,23.05,79.55,255.97,5.47,7.34,26.2,53.3,89.5,98.0,Healthy,Low,Optimal Conditions
Rice,43.21,19.18,614.28,52.43,6.2,24.9,23.1,61.1,5.0,High Risk,High,Temperature Deviation
Rice,27.83,55.7,242.53,27.37,6.65,79.8,54.4,90.5,82.8,Healthy,Low,Humidity Deviation
Rice,31.96,84.62,247.55,7.99,6.7,28.7,12.5,42.1,98.0,Healthy,Low,Optimal Conditions
Rice,33.96,91.57,316.79,21.95,6.28,90.6,12.4,56.5,80.1,Healthy,Low,Humidity Deviation
Rice,18.71,98.0,185.81,23.89,6.83,35.8,67.3,110.4,69.0,At Risk,Moderate,Humidity Deviation
Rice,24.38,84.57,177.15,17.82,6.23,49.7,79.7,61.8,98.0,Healthy,Low,Optimal Conditions
Rice,16.64,68.67,247.83,22.95,6.5,67.6,29.0,39.6,79.6,Healthy,Low,Temperature Deviation
Rice,37.39,15.06,626.37,49.74,5.42,40.1,12.9,92.3,5.0,High Risk,High,Rainfall Deviation
Rice,22.14,98.0,232.52,31.71,5.31,47.7,14.1,82.2,80.5,Healthy,Low,Humidity Deviation
Rice,23.8,71.33,165.5,13.77,6.72,67.7,48.4,87.0,98.0,Healthy,Low,Optimal Conditions
Rice,25.23,84.6,237.02,8.81,6.3,61.1,52.6,28.2,98.0,Healthy,Low,Optimal Conditions
Rice,23.44,84.1,259.93,7.44,5.47,107.7,22.5,39.6,98.0,Healthy,Low,Optimal Conditions
Rice,16.53,95.52,2.44,44.97,5.08,131.7,65.2,86.0,15.7,High Risk,High,Rainfall Deviation
Rice,28.59,75.91,247.68,6.6,6.64,139.9,13.9,117.6,98.0,Healthy,Low,Optimal Conditions
Rice,30.71,81.74,235.05,16.08,7.2,68.5,36.2,85.1,98.0,Healthy,Low,Optimal Conditions
Rice,40.32,92.13,5.44,47.06,6.52,87.6,40.4,72.6,5.0,High Risk,High,Rainfall Deviation
Rice,29.14,91.33,301.69,18.36,7.16,82.3,48.3,17.7,90.3,Healthy,Low,Humidity Deviation
Rice,25.8,75.98,237.03,13.0,6.52,111.8,75.0,90.4,98.0,Healthy,Low,Optimal Conditions
Rice,11.55,23.45,2.43,31.9,6.2,43.3,23.3,79.8,5.0,High Risk,High,Temperature Deviation
Rice,34.57,52.63,278.86,19.1,5.3,41.7,64.5,34.1,68.9,At Risk,Moderate,Humidity Deviation
Rice,25.46,70.6,322.58,18.22,6.32,33.5,10.2,82.0,97.0,Healthy,Low,Optimal Conditions
Rice,28.26,88.03,302.01,15.21,6.95,53.0,75.8,59.5,95.2,Healthy,Low,Optimal Conditions
Rice,30.33,53.72,123.78,21.78,5.45,57.5,28.4,36.6,74.3,At Risk,Moderate,Humidity Deviation
Rice,22.99,86.24,123.94,19.42,6.79,103.1,89.3,28.5,92.1,Healthy,Low,Rainfall Deviation
Rice,29.24,78.68,191.12,6.19,5.21,127.3,25.3,49.0,98.0,Healthy,Low,Optimal Conditions
Rice,25.55,71.04,227.86,6.01,7.0,48.0,53.2,107.4,98.0,Healthy,Low,Optimal Conditions
Rice,30.72,98.0,366.1,19.82,5.83,89.7,17.1,116.0,71.7,At Risk,Moderate,Humidity Deviation
Rice,23.35,98.0,315.59,27.5,7.32,48.2,41.9,31.0,78.4,Healthy,Low,Humidity Deviation
Rice,38.82,89.02,0.89,46.3,6.27,39.1,15.0,27.4,15.0,High Risk,High,Rainfall Deviation
Rice,25.42,75.71,201.95,8.59,6.27,119.0,32.4,114.0,98.0,Healthy,Low,Optimal Conditions
Rice,42.41,97.37,569.15,53.61,5.95,125.4,79.4,99.6,5.0,High Risk,High,Temperature Deviation
Rice,32.32,67.82,338.4,30.52,6.44,77.5,35.1,78.7,91.0,Healthy,Low,Rainfall Deviation
Rice,30.98,82.44,197.63,19.29,7.06,100.0,19.7,65.2,98.0,Healthy,Low,Optimal Conditions
Rice,19.68,90.74,140.56,12.32,6.6,45.9,59.6,83.3,81.1,Healthy,Low,Humidity Deviation
Rice,22.61,81.71,218.97,5.87,7.49,26.9,65.6,118.3,98.0,Healthy,Low,Optimal Conditions
Rice,23.42,71.82,195.49,6.52,6.73,27.5,50.8,119.7,98.0,Healthy,Low,Optimal Conditions
Rice,13.19,97.33,715.98,47.89,5.89,83.1,48.5,33.6,5.0,High Risk,High,Rainfall Deviation
Rice,31.64,73.73,170.07,11.28,6.98,89.9,64.5,34.9,98.0,Healthy,Low,Optimal Conditions
Rice,21.35,57.99,240.73,22.06,6.14,121.3,17.8,66.3,83.3,Healthy,Low,Humidity Deviation
Rice,25.25,81.06,221.4,10.64,5.99,75.1,72.8,108.7,98.0,Healthy,Low,Optimal Conditions
Rice,17.82,22.13,461.53,52.34,7.06,79.5,40.9,62.3,8.8,High Risk,High,Humidity Deviation
Rice,30.89,76.76,282.37,6.59,7.47,73.2,13.8,19.0,98.0,Healthy,Low,Optimal Conditions
Rice,19.35,88.16,260.68,17.69,6.94,99.4,24.8,33.3,86.0,Healthy,Low,Temperature Deviation
Rice,28.6,81.47,189.76,5.31,5.21,136.1,33.6,95.8,98.0,Healthy,Low,Optimal Conditions
Rice,28.44,98.0,119.15,29.71,5.81,35.0,47.9,27.0,73.3,At Risk,Moderate,Humidity Deviation
Rice,36.86,83.01,83.01,18.19,6.08,72.7,59.0,114.0,64.9,At Risk,Moderate,Temperature Deviation
Rice,23.22,72.96,283.04,14.69,5.71,117.9,78.9,103.9,98.0,Healthy,Low,Optimal Conditions
Rice,37.66,96.23,7.76,36.2,6.88,52.3,53.2,91.4,25.5,High Risk,High,Rainfall Deviation
Rice,28.85,71.38,294.77,12.33,5.38,61.1,43.1,94.6,98.0,Healthy,Low,Optimal Conditions
Rice,23.16,67.25,83.34,20.15,5.02,49.6,68.1,119.1,81.1,Healthy,Low,Rainfall Deviation
Rice,26.01,82.0,180.61,13.33,6.83,93.9,25.0,52.3,98.0,Healthy,Low,Optimal Conditions
Rice,36.1,91.72,353.77,24.92,6.89,121.0,47.6,67.7,66.4,At Risk,Moderate,Temperature Deviation
Rice,25.85,79.65,267.06,8.26,5.34,99.6,10.2,33.7,98.0,Healthy,Low,Optimal Conditions
Rice,23.67,72.72,208.15,11.03,7.19,81.2,67.9,25.9,98.0,Healthy,Low,Optimal Conditions
Rice,29.03,70.79,222.99,13.99,6.51,22.8,35.8,81.8,98.0,Healthy,Low,Optimal Conditions
Rice,28.95,81.19,297.3,8.15,7.06,82.4,39.9,27.8,98.0,Healthy,Low,Optimal Conditions
Rice,20.76,59.48,145.4,19.27,6.59,114.3,19.5,58.0,82.0,Healthy,Low,Humidity Deviation
Rice,17.32,94.22,3.35,45.5,6.47,103.7,84.4,97.2,19.8,High Risk,High,Rainfall Deviation
Rice,30.53,73.38,206.54,11.93,6.2,72.2,85.0,89.1,98.0,Healthy,Low,Optimal Conditions
Rice,33.6,48.4,187.0,12.98,6.88,98.8,86.5,22.2,67.7,At Risk,Moderate,Humidity Deviation
Rice,24.82,73.93,187.05,18.59,5.62,52.6,70.8,62.2,98.0,Healthy,Low,Optimal Conditions
Rice,34.31,72.66,131.52,26.98,5.22,48.4,68.6,72.6,86.4,Healthy,Low,Temperature Deviation
Rice,30.82,75.9,274.18,16.82,6.56,79.3,88.4,30.2,98.0,Healthy,Low,Optimal Conditions
Rice,20.81,60.3,120.84,14.96,5.63,122.1,54.9,70.0,77.4,Healthy,Low,Humidity Deviation
Rice,30.6,80.84,160.15,15.62,6.36,29.8,46.7,65.9,98.0,Healthy,Low,Optimal Conditions
Rice,31.46,82.75,250.35,11.93,6.03,98.1,53.6,21.5,98.0,Healthy,Low,Optimal Conditions
Rice,36.56,51.23,134.4,26.69,6.89,22.2,20.1,84.3,55.6,At Risk,Moderate,Humidity Deviation
Rice,24.55,84.2,234.03,16.26,6.39,86.3,17.5,51.1,98.0,Healthy,Low,Optimal Conditions
Rice,25.91,81.98,205.79,11.78,5.99,31.2,45.3,35.5,98.0,Healthy,Low,Optimal Conditions
Rice,22.94,75.35,263.62,9.15,5.78,97.1,25.7,109.2,98.0,Healthy,Low,Optimal Conditions
Rice,36.41,56.24,235.91,13.1,5.51,42.1,81.5,83.7,65.8,At Risk,Moderate,Temperature Deviation
Rice,26.4,79.23,162.52,18.24,7.01,80.6,87.4,58.9,98.0,Healthy,Low,Optimal Conditions
Rice,11.15,24.96,1.62,28.26,5.07,118.8,26.8,54.8,5.0,High Risk,High,Temperature Deviation
Rice,45.2,95.81,720.39,41.07,5.89,79.3,76.3,50.2,5.0,High Risk,High,Temperature Deviation
Rice,29.12,82.39,165.1,8.6,5.35,61.8,46.0,93.6,98.0,Healthy,Low,Optimal Conditions
Rice,35.27,98.0,214.03,12.34,5.79,20.5,64.5,32.5,67.4,At Risk,Moderate,Humidity Deviation
Rice,17.61,67.89,118.58,10.73,5.76,98.4,85.1,106.5,74.8,At Risk,Moderate,Temperature Deviation
Rice,27.69,56.45,153.32,18.35,5.57,65.8,20.3,58.3,83.7,Healthy,Low,Humidity Deviation
Rice,10.46,21.1,662.31,56.88,6.88,116.6,11.4,116.1,5.0,High Risk,High,Temperature Deviation
Rice,21.19,48.6,212.47,15.79,5.12,88.1,32.7,101.6,71.5,At Risk,Moderate,Humidity Deviation
Rice,24.26,80.95,239.82,5.97,7.19,125.3,36.4,50.7,98.0,Healthy,Low,Optimal Conditions
Rice,14.84,21.92,2.68,43.25,5.16,119.8,57.9,27.1,5.0,High Risk,High,Rainfall Deviation
Rice,31.1,80.04,274.39,18.18,6.43,82.1,44.4,48.3,98.0,Healthy,Low,Optimal Conditions
Rice,29.74,79.03,283.88,11.65,6.52,95.8,57.3,88.8,98.0,Healthy,Low,Optimal Conditions
Rice,27.12,71.56,207.68,12.32,6.63,134.1,58.1,93.1,98.0,Healthy,Low,Optimal Conditions
Rice,25.88,92.52,285.27,20.33,6.13,76.8,59.8,64.3,88.7,Healthy,Low,Humidity Deviation
Rice,26.74,78.86,230.55,17.81,5.12,120.0,77.5,44.9,98.0,Healthy,Low,Optimal Conditions
Rice,21.27,63.5,292.79,12.5,5.86,80.9,79.9,66.8,89.6,Healthy,Low,Humidity Deviation
Rice,26.04,60.41,348.58,15.68,6.69,55.6,67.5,115.2,82.0,Healthy,Low,Humidity Deviation
Rice,16.33,48.16,253.37,18.44,6.14,64.3,19.7,59.0,54.0,At Risk,Moderate,Humidity Deviation
Rice,20.19,55.9,199.42,23.17,6.26,36.7,19.3,31.2,76.7,Healthy,Low,Humidity Deviation
Rice,28.38,81.11,229.5,17.44,7.48,118.4,65.6,70.9,98.0,Healthy,Low,Optimal Conditions
Rice,22.84,75.99,286.52,17.12,5.54,76.0,75.3,22.1,98.0,Healthy,Low,Optimal Conditions
Rice,30.52,76.06,161.64,13.14,7.15,90.8,28.1,55.3,98.0,Healthy,Low,Optimal Conditions
Rice,33.89,93.53,174.77,25.14,5.94,40.0,44.4,30.0,79.6,Healthy,Low,Humidity Deviation
Rice,9.77,17.76,471.51,45.86,5.25,121.7,52.5,103.4,5.0,High Risk,High,Temperature Deviation
Rice,34.15,48.85,369.93,18.45,5.1,23.7,41.0,31.8,56.7,At Risk,Moderate,Humidity Deviation
Rice,29.56,76.88,193.39,18.5,5.29,134.7,35.1,108.3,98.0,Healthy,Low,Optimal Conditions
Rice,28.61,51.43,162.79,31.56,6.19,83.9,23.5,40.9,77.7,Healthy,Low,Humidity Deviation
Rice,13.48,88.63,6.77,44.52,5.87,89.7,21.1,61.6,17.0,High Risk,High,Rainfall Deviation
Rice,25.79,56.15,126.67,26.08,5.37,122.3,66.9,110.2,77.9,Healthy,Low,Humidity Deviation
Rice,27.93,78.99,203.02,11.88,5.09,109.5,53.9,21.1,98.0,Healthy,Low,Optimal Conditions
Rice,24.05,53.46,353.54,22.95,5.94,54.3,26.3,95.0,73.0,At Risk,Moderate,Humidity Deviation
Rice,27.11,77.38,236.59,17.98,7.45,68.9,76.2,95.3,98.0,Healthy,Low,Optimal Conditions
Rice,26.58,98.0,123.15,16.86,5.64,23.7,87.7,38.2,74.2,At Risk,Moderate,Humidity Deviation
Rice,34.26,54.83,266.77,27.7,5.7,45.3,86.6,15.9,72.7,At Risk,Moderate,Humidity Deviation
Rice,38.86,88.49,8.34,25.2,7.34,118.6,74.7,107.9,34.3,High Risk,High,Rainfall Deviation
Rice,23.43,94.52,153.36,12.44,7.02,133.7,15.8,115.3,85.7,Healthy,Low,Humidity Deviation
Rice,29.54,98.0,310.23,24.67,5.53,123.6,42.1,45.7,79.1,Healthy,Low,Humidity Deviation
Rice,24.66,70.33,237.49,17.63,6.37,46.3,12.7,37.5,98.0,Healthy,Low,Optimal Conditions
Rice,29.6,72.82,257.97,18.0,6.13,118.6,54.4,81.9,98.0,Healthy,Low,Optimal Conditions
Rice,36.8,92.8,319.87,15.97,6.24,54.1,20.7,81.1,66.5,At Risk,Moderate,Temperature Deviation
Rice,29.49,74.76,150.02,12.67,5.12,53.1,66.6,21.6,98.0,Healthy,Low,Optimal Conditions
Rice,20.02,11.24,3.6,55.33,6.43,128.9,85.4,59.4,5.0,High Risk,High,Rainfall Deviation
Rice,31.36,80.13,167.4,5.63,6.41,131.6,77.5,86.0,98.0,Healthy,Low,Optimal Conditions
Rice,24.54,83.13,177.42,9.18,5.32,101.1,85.5,43.2,98.0,Healthy,Low,Optimal Conditions
Rice,16.26,58.3,289.62,14.6,5.92,64.4,14.2,95.6,65.9,At Risk,Moderate,Temperature Deviation
Rice,30.22,82.76,181.8,14.86,6.18,125.6,27.3,86.2,98.0,Healthy,Low,Optimal Conditions
Rice,36.28,95.81,300.46,20.3,6.45,30.2,13.4,85.0,66.6,At Risk,Moderate,Temperature Deviation
Rice,37.29,22.53,9.11,29.35,6.03,79.1,42.3,70.7,16.0,High Risk,High,Rainfall Deviation
Rice,37.4,97.95,262.38,14.84,5.33,122.9,56.0,23.0,59.0,At Risk,Moderate,Temperature Deviation
Rice,25.68,72.73,215.33,9.98,5.85,108.7,27.9,82.4,98.0,Healthy,Low,Optimal Conditions
Rice,32.96,56.94,366.39,27.17,6.14,67.8,34.2,21.9,71.6,At Risk,Moderate,Humidity Deviation
